Actor,NomalIndex,SlowIndex,NoplayIndex,FarmerIndex,MerchantIndex,HardIndex,Group
1459,6.626568967,-2.804760034,-4.579276912,2.537123348,-0.398334013,-0.813107766,2
2238,-0.024933395,0.504833389,0.360754825,-0.648407286,-0.883628145,0.170732593,2
3001,3.012762163,-0.239281148,-0.056069687,-0.355384891,-0.863330785,-0.067783608,2
3265,-1.694402063,0.270431407,0.088307058,1.518527068,-0.097494607,0.209883908,2
3826,0.899269487,1.442438621,1.312393364,-0.539553038,0.054572101,-0.422704823,2
4742,-1.387885934,0.457411135,0.395176959,2.099273917,0.102575304,0.663132382,2
5818,2.185165185,0.896532266,0.662017537,-0.295714664,-1.242474094,-0.657056606,2
6173,10.59050841,-6.193101362,-7.079036547,2.891256521,4.268893568,1.042692415,2
6187,-0.107871451,0.785207421,0.975369311,-0.222474989,-0.046615178,-0.497275306,2
6636,1.442702002,1.21112565,0.902142223,-0.578514482,-0.729233912,-0.207537602,2
6766,-2.012489443,0.176715672,0.634880094,3.691522098,0.009811531,1.266667416,2
7469,1.467231501,0.85498507,1.322915991,-1.248302459,2.107649582,0.628941012,2
8085,2.520151162,-5.277246054,-1.710226056,-0.590276117,9.583114481,6.18401317,1
8117,-0.143232602,0.426822243,0.724640684,1.186792362,-0.452500845,0.196637022,2
8250,-1.758809164,-2.96162364,0.84785898,1.951735618,0.469604629,-0.136637494,2
8857,-0.916838103,-0.40666549,-0.287825811,2.244608663,-0.565584609,0.130540296,2
9651,-0.51536379,0.988808371,0.849667235,0.847690043,-0.000397575,0.128739494,2
10465,-1.437530719,0.101545361,0.328407681,3.258249056,-0.370537937,1.169439555,2
11458,2.851951237,-0.709312789,0.446591317,-0.454061257,-0.56308115,-0.480043502,2
11767,1.726946825,1.686979731,0.694978476,-0.453275769,-0.657196703,-0.397292265,2
12458,-1.18707385,0.781672691,0.527930774,2.177777031,0.183987038,0.816456096,2
13565,-1.631533536,1.009132417,0.279265472,2.943183082,0.333968322,1.345110088,2
13829,4.344212376,-2.462525781,-1.617675176,0.451436411,-0.329853652,-0.007286813,2
13976,3.271098717,-0.781945281,0.128129074,-0.302813495,-1.08336299,-0.606990174,2
15054,-0.895571297,0.916947679,0.871202924,1.877543522,0.028421557,0.604912793,2
15216,-1.413210846,-2.729555414,1.624644394,1.999925626,0.560800537,0.087282232,2
15535,1.331414572,1.042570736,0.90327119,0.143393013,-0.840167593,-0.25632617,2
16035,1.100004919,1.362491788,0.953969258,-0.425687176,-0.172308853,-0.589466669,2
16161,-1.047659313,0.714386603,0.274469166,0.896818504,0.076647222,0.142423704,2
16226,1.919270781,-0.21068659,0.842690964,-0.281817404,0.16141011,0.040269454,2
16386,-1.649790125,0.232119869,0.08457037,1.662957622,0.043883465,0.362784608,2
16727,0.073029326,-3.302066774,-0.53273542,-0.855765373,-0.216926498,-0.676778321,2
16822,-1.017517457,-2.87184812,0.883691685,-0.8488761,0.069050239,-0.031068605,2
17070,3.829534992,-1.857736908,-0.523414289,0.018183932,0.402035396,-0.199954936,2
17191,-0.551476537,0.953690547,0.880345083,1.032756426,-0.037852353,0.178782705,2
17580,-1.391624688,-0.145713357,-0.68945948,2.016474256,-0.477622889,0.328661447,2
17899,2.524458689,1.005589684,0.261798669,-0.28258577,-1.449742434,-0.528628787,2
19615,-0.378593796,0.376595476,0.94945237,1.308014673,-0.266473107,0.252842748,2
20416,-0.072287879,0.567253208,0.459038316,1.259209409,-0.307561903,0.341552079,2
20476,-1.219763354,0.705832893,0.615830237,2.023114491,0.076325191,0.660061366,2
21315,-0.596988047,0.627600446,1.018573621,0.972341332,-0.175175235,-0.040766594,2
21478,-0.351969783,0.49797366,-0.199929776,0.169345005,-0.301108413,-0.384601439,2
21726,-1.676471071,-5.13654674,0.876640465,-3.942314778,-4.557427776,6.248972876,2
21933,3.898417243,-2.532572406,-0.087304679,-1.641847074,3.234477557,2.146439219,2
22006,-0.753497816,0.732766625,0.754358544,1.252307385,0.093596222,0.296072805,2
22131,-1.336905472,0.438321869,0.675365835,2.628938818,0.156817822,0.915548859,2
23034,-2.167922188,-2.267266605,1.644321176,3.667457666,0.854837837,0.930548803,2
23363,1.611897882,0.647106775,1.336987143,-0.833830054,0.085230734,-0.457526776,2
23763,2.479361353,-0.001543214,0.634601707,-0.428856016,-0.567802411,-0.516049346,2
24446,-0.060326537,0.106669186,0.791663088,1.238840665,-0.547607349,0.413539671,2
24560,1.87859719,0.518271104,0.54435714,-0.44657348,-0.286254526,-0.034206201,2
24585,5.627560392,-3.201739773,-1.260804371,-2.053494641,6.686841903,4.690783069,1
24780,1.454584823,0.68174526,1.262206973,-0.564340842,-0.38005685,-0.287021569,2
25405,9.408309855,-6.374871773,-5.15099008,0.549033836,6.455357147,3.78678856,2
25582,3.445988654,-1.192635955,-0.306840103,-0.189540421,-0.238376157,-0.108703705,2
25828,-0.999277887,0.091623974,0.675304612,2.790974048,-0.237968131,0.60960738,2
26265,-0.908057957,-2.316109236,1.107874889,-0.419143295,0.681344618,-0.652258437,2
26996,1.690226549,0.849880263,1.006736765,-0.836554019,-0.210466784,0.197550712,2
27653,3.305949909,-1.257697797,0.067711923,-0.452834682,0.049672546,-0.0780098,2
28213,-0.971900936,0.868112326,0.522424368,1.534720848,0.065132508,0.468843841,2
28238,4.473647391,-3.666565325,-2.357467248,1.236495004,0.598274214,0.231952009,2
28773,-1.031692506,0.317988565,-0.399097086,1.275900611,-0.329405869,0.292825436,2
29441,-0.221996468,0.704665847,0.553863163,1.377765683,-0.498646929,0.332891818,2
29761,0.876341646,0.349256266,0.258954996,-0.006694021,-1.24918383,-0.579862238,2
30063,-0.425755494,1.017197615,0.749887121,0.487804415,-0.021065841,-0.058891275,2
30814,-3.095856151,-2.713789948,1.220245201,4.379446825,0.921822219,1.207355284,0
30951,5.27172229,-1.737600651,-2.290241038,1.131811429,-0.454056142,-0.720246253,2
31107,-1.174906125,-2.570181058,1.00436626,-0.091137556,0.517216826,-0.932315591,2
31171,1.157569456,1.098594395,1.174904365,-0.54038971,0.202196339,-0.283955626,2
31636,0.177289532,-0.759137497,-0.01183862,1.790238491,-0.895768165,-0.023759142,2
32548,-1.476261673,-1.105134139,0.06571865,-0.543716714,0.510180594,-0.764940724,2
33347,-0.999386812,-0.314905645,-0.515007734,1.787790186,-0.601330432,0.168574802,2
33767,-1.774639062,-2.780633623,0.43442426,-1.25170033,-0.0204017,-0.689845172,2
33990,-1.452641316,-2.510185583,1.12627176,-0.191006191,0.712418884,-0.826378519,2
34100,1.094672666,-0.071368194,-0.212451283,1.93577946,-1.633145405,-0.15258195,2
34704,6.11043048,-4.624669692,-3.661667347,1.72638467,0.811160235,0.600914421,2
35091,-1.54238829,0.615899338,-1.129663094,-0.646431073,0.065595107,-0.570546763,2
35145,-2.028853145,-2.476032374,1.561069025,3.162691416,0.82589759,0.586766115,2
35689,2.642068311,-3.427456665,-1.846553187,0.240924133,0.135655553,-0.269570546,2
35704,2.827642852,-1.140939229,-0.565287076,0.17304762,-1.316939224,-0.684263821,2
36992,0.454744307,0.091178551,-0.442997518,-0.403786736,-1.074174529,-0.861182191,2
37436,2.684924997,0.804456788,0.760840646,-2.126749991,4.067050678,2.125056149,2
37529,-0.880343023,1.047786419,0.665615176,1.587298373,0.043892933,0.519406321,2
37573,2.583283189,-0.875668586,0.877192911,-0.979165491,0.984816173,0.166131898,2
38181,-1.081877988,-2.203584712,0.845216396,-0.830305925,0.803515305,-0.862061524,2
38329,4.312559938,-2.570582829,-0.442075208,-0.955974016,3.747727018,1.974107953,2
38955,-0.618185023,0.852776599,0.17763886,3.548874017,-0.227164158,1.418462626,2
39294,-0.379751504,0.446511054,0.691456578,1.965827618,-0.353122872,0.608546223,2
39893,0.683017685,0.278074028,1.132528726,-0.591617359,0.718289145,-0.1473348,2
39954,4.718841547,-2.565669046,-1.623922901,1.131381352,-1.226043669,-0.836183289,2
40372,0.852739502,2.009411395,1.066073976,-0.572065188,0.078285039,-0.286493052,2
40405,1.369507265,-0.038771113,0.166455809,0.016925657,-1.51788838,-0.235707081,2
40727,-0.385707793,-1.946839634,0.562633898,-1.049572105,-0.935020541,0.457008367,2
41022,-1.160542777,0.510088274,0.657960342,1.959022701,0.146598226,0.649335333,2
41242,-0.355845535,0.894464203,0.481412419,1.369650429,-0.256912838,0.182844363,2
41345,0.186705024,-3.178122484,0.10821617,-0.25484082,0.395019924,-1.114478722,2
41488,-1.441646044,0.476251422,0.50750224,2.316687348,0.133965193,0.763953521,2
41493,0.179599334,-0.000805792,0.084168869,0.056018811,-0.919720867,-0.631170146,2
43990,1.689643101,0.451387573,0.871578212,-0.441388425,-0.362549336,-0.318563843,2
44329,1.520809314,0.173299817,1.607112956,-0.893784441,0.161889213,-0.669149464,2
44351,2.258882738,0.545805057,-0.442800864,0.081135734,-1.420170573,-0.631620863,2
44476,-1.284751795,-2.342578995,1.410849703,-0.403939918,0.523550605,-1.214322927,2
44575,1.482890287,2.470820573,0.610230645,-0.818606128,0.192540857,0.254394026,2
44618,1.351550525,1.00901836,1.070324741,-0.525033733,-0.452458119,-0.352337169,2
45624,-2.010922507,-0.285945563,-0.603042399,2.110027377,-0.137550856,0.33097821,2
45891,3.879421062,-2.871044336,-1.100502929,-0.578989932,-1.685451133,1.223663953,2
46332,0.67030952,-3.893488394,0.057889753,-1.049278141,6.870947131,3.995403529,1
47170,-1.255529402,0.168989547,0.612581384,2.025836454,0.091996489,0.491575987,2
47874,4.908864728,-3.081958173,-0.497400409,-1.74838279,5.775131052,3.686146101,1
48782,-1.109168535,0.566215299,0.29958312,1.217764449,0.086262735,0.26192656,2
49128,1.137332223,1.209302302,1.193779296,-0.545086056,-0.214586576,-0.394434728,2
49479,2.089677762,0.916694524,0.580110488,-0.434885554,-0.905558274,-0.371113769,2
50012,1.246418252,0.798214443,0.490090586,-0.309842065,-0.100525534,0.582864873,2
50419,2.413361281,0.155231831,0.80328941,-0.857286037,0.505890696,0.189359662,2
